70031777,ING3,2015/2016,Cergy,,EL JADIDA,MA,ING3,CAPGEMINI TECHNOLOGY SERVICES - SURESNES,92287,SURESNES CEDEX,France,"Consultante BI. Aux côtés de nos experts techniques et métiers, vous participez activement aux phases de conception et lancement d'un projet global de refonte décisionnel d'un grand groupe pharmaceutique. A ce titre, vous participez à la consolidation des besoins métiers et techniques ainsi à la mise en oeuvre des premières phases du projet (intégration et qualité des données...) Vous pouvez être amené à travailler sur différents outils BI (et/ou Big Data) tels que : ETL : Informatica, Bases de donnés : Oracle, SQL, Hadoop, Dataviz : QlikView, QilkSense, Tableau, Business Object.",1400.0
70031777,ING2,2014/2015,Cergy,,EL JADIDA,MA,ING2,FRS CONSULTING,75003,PARIS,France,Développement d'une plateforme applicative d'intermédiation pour les financements de projets innovants. - Modélisation de données/objets et BD; - Implémentation d'un système de monitoring et d'alimentation d'une BD (Talend); - Définition et mise en place de fonctionnalités simples et data-mining / BI; - Spécification de fonctionnalités avancées de data-mining / BI; - Recherche et benchmark de techniques de recommandation; - Recherche et collecte de sources de données (Web); - Utilisation des outils internes de suivi et de pilotage.,800.0
42019364,ING3,2015/2016,Cergy,,Cergy Cedex,CN,ING3,TALAN SOLUTIONS,75116,PARIS,FRANCE,Stage consultant décisionnel. Intégré au sein d'une équipe EXL experte en décisionnel intervenant dans le cadre d'une prestation forfaitaire chez un de nos clients dans le domaine du transport.,1400.0
42019364,ING2,2014/2015,Cergy,,Cergy Cedex,CN,ING2,MORAILSO AG,CH-6264,PFAFFNAU/LU,SUISSE,Webdesign.,800.0
80223621,ING2,2014/2015,Cergy,95014.0,CERGY CEDEX,FR,ING2,VAL'EISTI,95011,CERGY CEDEX,FRANCE,Mise en place d'un dispositif de médiation culturel à partir d'objet 3D obtenus en photogrammétrie projet Culture 3D. Réalisation en équipe d'un logiciel permettant la présentation au public d'une reconstitution en 3D d'objets obtenus par un procédé de photogrammétrie.,1000.0
79484207,ADEO2,2014/2015,Cergy,95000.0,CERGY,FR,ADEO2,SOLUTION BI,75010,PARIS,FRANCE,Consultant BI. Stage de fin d'étude ayant pour objectif d'intégrer une équipe de gestion de projet dans l'intégration de données,1300.0
23964316,ING3,2014/2015,Cergy,75018.0,PARIS,FR,ING3,BNP PARIBAS,75450,PARIS CEDEX 09,FRANCE,Assistant Consultant - Conseil en stratégie,1890.0
23964316,ING2,2013/2014,Cergy,75018.0,PARIS,FR,ING2,PÔLE JUDICIAIRE DE LA GENDARMERIE NATIONALE,93111,ROSNY-SOUS-BOIS CEDEX,France,Exploration statistique de données d'intérêt criminel,436.05
74320387,ING3,2014/2015,Cergy,95000.0,CERGY,FR,ING3,SOPRA GROUP - LA DEFENSE,92937,PARIS LA DEFENSE 12 CEDEX,FRANCE,"Développement décisionnel pour une banque en ligne. Vous intégrerez l'équipe en place et participerez aux évolutions du produit. Vos missions consisteront à: - participer à la rédaction de spécifications techniques, au développement et aux travaux de qualification, - faire l'étude d'impact à partir de spécifications, - réaliser la conception technique, - aider l'assistance à la recette et à la production. Environnement technologique/fonctionnel: ETL Datastage ou SAS, BDD Oracle.",1400.0
74320387,ING2,2013/2014,Cergy,95000.0,CERGY,FR,ING2,AIR FRANCE,91551,PARAY-VIELLE-POSTE CEDEX,FRANCE,"Les activités confiées au stagiaire sont principalement les suivantes: - Créer un tableau de bord accessible en temps réel sur la base de données locales et centralisées. - Mettre en place un système d'automatisation des indicateurs issus des données e-Care concernant les événements significatifs, les remontées spontanées et le programme de surveillance. - Idéalement, ces indicateurs devraient être accessibles à des outils nomades, type tablettes ou Smartphones. - Un système d'alerte permettant d'identifier les récurrences des événements précurseurs. Le modèle de risque Bow Tie dans la base e-Care",600.0
59822690,ING3,2014/2015,Cergy,92230.0,GENNEVILLIERS,FR,ING3,AMUNDI ALTERNATIVE INVESTMENTS,75015,PARIS,France,"CONVENTION DAUPHINE. Structuration de produits diversifiés comprenant des actifs immobiliers. Définition des caractéristiques de produits, Modélisation financière, Veille concurrentielle, analyse de marchés.",1900.0
59822690,ING2,2013/2014,Cergy,92230.0,GENNEVILLIERS,FR,ING2,OBAFRICA AM,20200,CASABLANCA,MAROC,"- Suivi des publications des sociétés africaines du fond et de la ""watchlist"" - Rédaction de commentaires pour garder un historique de la base de données d'OBAFRICA AM - Aide à la valorisation des sociétés de fonds (sur chiffres historiques et prévisionne",300.0
